               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088469,            0.034794,            0.046883,           0.0021904,              0.2015,           0.0016296,          0.00038888,            0.071994,             0.02112,            0.043844,            0.070124,           0.0033196,           0.0033196
                   1,            0.072357,            0.031072,            0.037025,             0.45958,             0.28983,             0.21725,            0.071039,            0.059648,            0.018998,            0.028756,            0.039992,           0.0065212,           0.0065212
                   2,            0.063587,            0.026168,            0.024085,             0.33982,             0.40938,             0.30874,             0.10846,            0.059743,               0.019,            0.017195,           0.0097285,           0.0095908,           0.0095908
                   3,            0.059101,            0.025296,            0.017062,             0.53051,             0.51125,             0.51249,             0.21798,            0.049418,            0.013616,            0.013407,            0.009406,            0.009406,            0.009406
                   4,            0.054787,            0.023841,            0.013791,             0.62564,              0.5338,              0.5869,             0.27473,            0.047006,            0.013484,            0.010854,            0.009406,            0.009406,            0.009406
                   5,            0.051446,            0.023221,            0.012784,             0.74275,             0.61211,             0.66982,             0.34272,            0.044016,            0.012281,           0.0094309,            0.009208,            0.009208,            0.009208
                   6,            0.049671,            0.022324,            0.011133,             0.72309,             0.59062,             0.67615,             0.34408,            0.043396,            0.012581,           0.0084511,             0.00901,             0.00901,             0.00901
                   7,            0.047242,            0.021635,            0.010442,             0.77928,             0.65882,             0.76681,             0.35454,            0.044076,            0.011646,           0.0073793,            0.008812,            0.008812,            0.008812
                   8,            0.046576,            0.021302,           0.0094374,               0.804,             0.66533,             0.75648,             0.41385,            0.039942,             0.01143,           0.0072234,            0.008614,            0.008614,            0.008614
                   9,            0.045007,            0.020687,           0.0085896,             0.83992,             0.70213,             0.79906,              0.4524,             0.03827,             0.01076,           0.0047079,            0.008416,            0.008416,            0.008416
                  10,            0.043773,            0.020214,           0.0075664,             0.86039,             0.70792,             0.80503,              0.4705,            0.037514,            0.011033,           0.0054593,            0.008218,            0.008218,            0.008218
                  11,            0.042598,            0.019727,           0.0069707,              0.8497,             0.71411,             0.79554,             0.46576,            0.037076,            0.010645,           0.0050042,             0.00802,             0.00802,             0.00802
                  12,            0.041355,            0.019265,            0.006513,             0.87386,             0.73247,              0.8301,             0.49269,            0.037014,            0.010378,           0.0044041,            0.007822,            0.007822,            0.007822
                  13,            0.041442,            0.018992,           0.0059747,             0.82058,             0.75037,             0.81956,              0.4969,            0.036231,            0.010415,           0.0034076,            0.007624,            0.007624,            0.007624
                  14,            0.039815,            0.019023,           0.0054664,             0.86606,             0.73058,             0.82075,              0.5136,            0.036034,             0.01032,           0.0044848,            0.007426,            0.007426,            0.007426
