               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088752,             0.03455,            0.046632,           0.0032313,             0.44538,            0.024744,             0.00621,            0.072149,             0.02003,            0.043482,            0.070124,           0.0033196,           0.0033196
                   1,             0.07191,            0.029338,            0.036077,             0.30777,             0.31256,             0.22151,             0.06868,            0.059689,            0.014125,            0.025719,            0.039992,           0.0065212,           0.0065212
                   2,            0.064324,            0.025667,            0.021953,             0.47303,             0.41808,             0.36335,              0.1555,            0.055494,            0.016307,             0.02468,           0.0097285,           0.0095908,           0.0095908
                   3,            0.058908,            0.025176,            0.016728,             0.56793,             0.46218,             0.48632,             0.20664,            0.050186,             0.01414,            0.012893,            0.009406,            0.009406,            0.009406
                   4,            0.055018,            0.023778,            0.013527,             0.61315,             0.57024,             0.58526,             0.28472,             0.04717,            0.013041,            0.011168,            0.009406,            0.009406,            0.009406
                   5,            0.051792,            0.023102,            0.012469,             0.67015,             0.61018,             0.65067,             0.32221,            0.044604,            0.012462,           0.0095867,            0.009208,            0.009208,            0.009208
                   6,             0.04952,            0.022259,            0.010584,             0.78967,             0.62079,             0.71336,             0.34882,            0.043308,            0.012331,            0.008138,             0.00901,             0.00901,             0.00901
                   7,             0.04742,            0.021723,            0.010052,             0.79346,             0.64337,             0.74195,             0.39531,            0.041755,            0.011504,           0.0095853,            0.008812,            0.008812,            0.008812
                   8,            0.046261,            0.021251,           0.0089735,             0.80899,             0.65416,             0.77393,             0.42442,            0.039957,            0.011316,           0.0066918,            0.008614,            0.008614,            0.008614
                   9,             0.04514,             0.02051,           0.0079857,              0.7898,             0.70456,             0.78198,              0.4374,            0.039445,            0.011234,           0.0061166,            0.008416,            0.008416,            0.008416
                  10,            0.043886,            0.020089,           0.0074773,             0.84093,              0.7134,             0.80897,             0.46087,            0.037522,            0.010781,           0.0051749,            0.008218,            0.008218,            0.008218
                  11,            0.042545,            0.019748,           0.0068371,             0.82503,             0.68847,             0.79819,             0.45118,            0.038472,             0.01067,           0.0066145,             0.00802,             0.00802,             0.00802
                  12,            0.041369,            0.019291,           0.0063332,             0.83043,             0.75413,             0.82128,             0.49174,             0.03718,             0.01036,           0.0034107,            0.007822,            0.007822,            0.007822
                  13,            0.041624,            0.019006,           0.0061724,             0.83148,             0.74664,             0.82304,             0.50728,            0.035923,            0.010308,           0.0034451,            0.007624,            0.007624,            0.007624
                  14,            0.039837,             0.01912,           0.0053544,             0.86109,             0.72763,             0.84187,             0.51115,            0.035677,            0.010416,           0.0048697,            0.007426,            0.007426,            0.007426
                  15,            0.039757,            0.018737,           0.0057277,             0.85564,             0.74409,             0.83691,             0.51382,            0.035067,            0.010188,           0.0043382,            0.007228,            0.007228,            0.007228
                  16,            0.038907,            0.018101,           0.0046755,             0.89138,             0.74851,             0.84858,             0.53095,            0.034579,             0.01014,           0.0027151,             0.00703,             0.00703,             0.00703
                  17,            0.038386,            0.017894,           0.0049505,             0.84321,             0.75663,             0.83661,             0.51889,            0.035241,           0.0099889,           0.0058007,            0.006832,            0.006832,            0.006832
                  18,             0.03763,             0.01755,           0.0045552,             0.87425,             0.76757,             0.85346,             0.54101,             0.03426,           0.0097065,            0.004454,            0.006634,            0.006634,            0.006634
                  19,            0.036704,             0.01684,            0.004489,             0.88839,             0.74652,             0.84862,             0.53366,             0.03393,           0.0098216,           0.0038043,            0.006436,            0.006436,            0.006436
                  20,            0.036192,             0.01759,            0.003876,             0.85197,             0.79344,             0.86477,             0.54616,            0.033629,           0.0097249,            0.003571,            0.006238,            0.006238,            0.006238
                  21,            0.035916,            0.016612,           0.0039305,             0.87879,             0.79373,             0.86754,             0.55488,            0.033794,           0.0097937,           0.0028311,             0.00604,             0.00604,             0.00604
                  22,            0.035642,            0.016983,           0.0035877,             0.90503,             0.75114,             0.85371,             0.55644,            0.033645,           0.0096982,           0.0022267,            0.005842,            0.005842,            0.005842
                  23,            0.035168,            0.016612,           0.0034055,             0.87279,             0.76267,             0.84928,             0.55617,            0.033041,            0.009845,           0.0033371,            0.005644,            0.005644,            0.005644
                  24,            0.034895,            0.016226,           0.0034646,             0.89611,             0.76723,             0.85566,             0.55915,             0.03363,           0.0095066,           0.0025923,            0.005446,            0.005446,            0.005446
                  25,            0.034029,            0.016292,           0.0029973,              0.8813,             0.80962,             0.85958,             0.56276,            0.033283,            0.009382,           0.0023345,            0.005248,            0.005248,            0.005248
                  26,            0.033895,            0.016454,           0.0031513,             0.86998,             0.80276,             0.86601,             0.56648,            0.032278,           0.0093236,           0.0031218,             0.00505,             0.00505,             0.00505
                  27,            0.033067,            0.015792,            0.003272,              0.8812,             0.79028,             0.86635,             0.56484,            0.032772,           0.0093073,           0.0026471,            0.004852,            0.004852,            0.004852
                  28,            0.032812,            0.015444,           0.0027811,             0.86398,             0.78607,             0.85576,             0.56935,            0.032282,           0.0094371,           0.0032843,            0.004654,            0.004654,            0.004654
                  29,            0.032442,            0.015499,           0.0027041,             0.86318,             0.80877,             0.86651,             0.58862,            0.031984,           0.0090955,           0.0020582,            0.004456,            0.004456,            0.004456
                  30,            0.031883,            0.015611,           0.0026014,             0.91004,             0.78211,             0.87012,             0.59077,            0.032137,           0.0090972,           0.0020966,            0.004258,            0.004258,            0.004258
                  31,            0.031802,            0.016022,           0.0028121,             0.90074,             0.78409,             0.86747,             0.58164,            0.032592,           0.0090582,           0.0025382,             0.00406,             0.00406,             0.00406
                  32,            0.031814,            0.015499,           0.0024458,             0.87621,             0.81799,             0.88023,             0.58479,            0.032033,           0.0090158,            0.002151,            0.003862,            0.003862,            0.003862
                  33,            0.031201,            0.014968,           0.0023761,             0.85804,             0.83028,             0.87619,             0.59783,            0.031132,           0.0089221,           0.0022675,            0.003664,            0.003664,            0.003664
                  34,            0.030899,             0.01486,           0.0022995,             0.90582,             0.80278,             0.87729,             0.58952,            0.031464,           0.0091508,           0.0019438,            0.003466,            0.003466,            0.003466
                  35,            0.030734,            0.014711,           0.0019568,             0.85351,             0.83042,             0.87074,              0.6003,            0.030968,           0.0089999,           0.0018999,            0.003268,            0.003268,            0.003268
                  36,            0.030485,            0.014758,           0.0024186,             0.88878,             0.81314,             0.87028,             0.59869,            0.031446,           0.0090655,           0.0018708,             0.00307,             0.00307,             0.00307
                  37,            0.030128,            0.014533,           0.0019678,             0.87646,             0.82117,             0.88068,             0.60791,            0.030981,           0.0089934,           0.0020504,            0.002872,            0.002872,            0.002872
                  38,            0.029373,            0.014365,           0.0019677,             0.89206,             0.81042,             0.88465,              0.6142,            0.031063,           0.0088189,           0.0015623,            0.002674,            0.002674,            0.002674
                  39,            0.029287,             0.01427,           0.0018469,             0.89926,             0.80359,             0.87559,             0.60803,            0.031175,            0.008853,            0.001295,            0.002476,            0.002476,            0.002476
                  40,             0.02854,            0.013876,           0.0017442,             0.89488,              0.8348,             0.88057,             0.60947,            0.031368,           0.0089091,           0.0015337,            0.002278,            0.002278,            0.002278
                  41,            0.028593,            0.014047,           0.0018478,             0.90573,             0.80996,             0.87134,             0.61271,            0.030982,            0.009159,           0.0014519,             0.00208,             0.00208,             0.00208
                  42,            0.028131,            0.013877,           0.0015213,             0.88703,             0.84871,             0.89384,             0.61968,             0.03063,           0.0089115,           0.0010556,            0.001882,            0.001882,            0.001882
                  43,            0.027869,            0.013933,           0.0016361,             0.87351,             0.84329,             0.88384,             0.61776,            0.030534,            0.008987,           0.0012679,            0.001684,            0.001684,            0.001684
