               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087156,            0.035156,            0.046787,           0.0058064,             0.52667,            0.030308,           0.0078049,            0.068517,            0.021802,            0.043454,            0.070124,           0.0033196,           0.0033196
                   1,            0.068768,            0.030045,            0.036359,             0.26209,             0.34888,             0.23428,            0.078848,            0.059346,            0.015128,            0.025961,            0.039992,           0.0065212,           0.0065212
                   2,            0.061978,            0.025497,            0.022026,             0.49874,             0.49144,             0.44969,             0.18853,            0.051792,            0.014289,            0.013395,           0.0097285,           0.0095908,           0.0095908
                   3,             0.05731,            0.024627,            0.015774,             0.53077,              0.4958,             0.47784,             0.20884,             0.05097,            0.013448,            0.013827,            0.009406,            0.009406,            0.009406
                   4,            0.053799,            0.023425,            0.013547,             0.57408,             0.56446,             0.53439,             0.25504,            0.049079,            0.013312,            0.016165,            0.009406,            0.009406,            0.009406
                   5,            0.051054,            0.022722,            0.012044,             0.65914,             0.58719,             0.62766,             0.33572,            0.044966,            0.012336,            0.013411,            0.009208,            0.009208,            0.009208
                   6,            0.048936,            0.021963,            0.010155,             0.80059,             0.57151,              0.7083,             0.34494,            0.043468,            0.012316,                0.01,             0.00901,             0.00901,             0.00901
                   7,            0.046766,            0.021091,           0.0095736,             0.75784,             0.68444,             0.75126,             0.41383,            0.040101,            0.011492,           0.0075536,            0.008812,            0.008812,            0.008812
                   8,            0.045396,            0.020821,           0.0091653,             0.78511,             0.65161,             0.74781,             0.41547,             0.03891,             0.01115,           0.0068426,            0.008614,            0.008614,            0.008614
                   9,            0.044279,            0.020158,           0.0080295,             0.79991,             0.69161,             0.77189,             0.43558,            0.039996,            0.011212,           0.0067897,            0.008416,            0.008416,            0.008416
                  10,            0.043289,            0.019812,           0.0070861,             0.82213,             0.70271,             0.80189,             0.47759,             0.03841,            0.010591,           0.0055513,            0.008218,            0.008218,            0.008218
                  11,            0.042321,            0.019517,           0.0067613,             0.77349,             0.72727,             0.80114,             0.46517,            0.036935,            0.010947,           0.0051775,             0.00802,             0.00802,             0.00802
                  12,            0.040945,            0.018909,           0.0060711,             0.83562,             0.71822,             0.79167,             0.48132,            0.038435,            0.010719,           0.0057495,            0.007822,            0.007822,            0.007822
                  13,            0.040945,            0.018741,           0.0057273,             0.81644,             0.73997,              0.8053,             0.49623,             0.03646,            0.010136,           0.0037215,            0.007624,            0.007624,            0.007624
                  14,            0.039654,            0.018775,           0.0053159,             0.83294,             0.78027,              0.8418,             0.50817,            0.035827,           0.0097843,           0.0041834,            0.007426,            0.007426,            0.007426
                  15,            0.039131,            0.018252,           0.0052769,             0.84873,              0.7945,             0.85191,             0.53971,            0.034746,           0.0098606,           0.0049637,            0.007228,            0.007228,            0.007228
                  16,            0.038315,            0.017651,           0.0044593,              0.8827,             0.76445,             0.84384,             0.52264,            0.034382,           0.0098057,           0.0038108,             0.00703,             0.00703,             0.00703
                  17,             0.03775,            0.017675,           0.0050382,             0.83451,             0.76578,             0.83118,             0.53853,            0.034085,           0.0098327,           0.0055855,            0.006832,            0.006832,            0.006832
                  18,            0.037299,            0.017205,           0.0043629,             0.86693,             0.77925,             0.85523,             0.55387,            0.033943,           0.0094903,           0.0035684,            0.006634,            0.006634,            0.006634
                  19,            0.036444,            0.016495,           0.0044877,             0.81785,             0.78996,             0.83596,             0.52922,            0.034429,           0.0098414,           0.0048757,            0.006436,            0.006436,            0.006436
                  20,            0.035821,             0.01714,           0.0037932,             0.88291,             0.80551,             0.86794,             0.55407,            0.033585,           0.0095301,           0.0020199,            0.006238,            0.006238,            0.006238
                  21,            0.035818,            0.016326,            0.003843,             0.87449,             0.79097,             0.86263,              0.5541,            0.033121,           0.0094545,           0.0021855,             0.00604,             0.00604,             0.00604
                  22,            0.035118,            0.016594,            0.003455,             0.88202,             0.78517,             0.87119,             0.56052,            0.033582,           0.0095626,           0.0020958,            0.005842,            0.005842,            0.005842
                  23,            0.034788,            0.016371,           0.0034601,             0.83795,             0.80418,             0.86279,             0.56175,            0.033135,           0.0094641,           0.0022031,            0.005644,            0.005644,            0.005644
                  24,            0.034466,            0.015876,           0.0033589,             0.86528,             0.78426,             0.86966,              0.5768,            0.032622,           0.0093598,            0.003091,            0.005446,            0.005446,            0.005446
                  25,            0.033426,            0.015818,           0.0027999,              0.8738,             0.78113,             0.85237,             0.56388,             0.03265,           0.0093625,           0.0029501,            0.005248,            0.005248,            0.005248
                  26,             0.03333,            0.016094,           0.0029511,             0.86093,             0.81323,             0.86516,             0.56944,            0.032091,            0.009193,           0.0029868,             0.00505,             0.00505,             0.00505
                  27,            0.032642,            0.015472,           0.0030335,             0.89221,             0.78642,             0.86593,             0.58458,            0.032911,           0.0089091,           0.0020406,            0.004852,            0.004852,            0.004852
                  28,            0.032402,            0.015194,           0.0028374,             0.86151,             0.81449,             0.86259,             0.58029,            0.032325,           0.0090786,           0.0030835,            0.004654,            0.004654,            0.004654
                  29,            0.032104,            0.015186,           0.0025604,             0.88006,             0.80867,             0.87442,             0.58743,            0.031608,           0.0088945,           0.0023493,            0.004456,            0.004456,            0.004456
                  30,             0.03154,            0.015255,            0.002681,             0.86325,             0.82307,             0.87812,             0.59792,            0.031754,           0.0088939,           0.0022364,            0.004258,            0.004258,            0.004258
                  31,            0.031478,            0.015693,           0.0025912,             0.85493,             0.81122,             0.85906,             0.58782,            0.031417,           0.0089857,           0.0032474,             0.00406,             0.00406,             0.00406
                  32,            0.031364,            0.015145,           0.0022214,             0.87679,             0.78533,             0.86538,             0.58838,            0.031162,           0.0088294,            0.002917,            0.003862,            0.003862,            0.003862
                  33,            0.030791,            0.014678,           0.0021229,             0.86699,             0.80259,             0.86645,             0.58725,            0.031322,           0.0089173,           0.0027814,            0.003664,            0.003664,            0.003664
                  34,            0.030588,            0.014683,           0.0021431,             0.89133,             0.82122,             0.87549,             0.60022,            0.030929,             0.00889,           0.0024288,            0.003466,            0.003466,            0.003466
